,Column Names,,,,
Enabled For Outgoing Email,Enabled For Outgoing Email,,,,
Enable Immersive Skype Integration,Enable Immersive Skype Integration,,,,
Enable Live Person A Card Uci,Enable Live Person A Card Uci,,,,
Enable Lp Authoring,Enable Lp Authoring,,,,
Enable Microsoft Flow Integration,Enable Microsoft Flow Integration,,,,
Enable Pricing On Create,Enable Pricing On Create,,,,
Enable Smart Matching,Enable Smart Matching,,,,
Enable Unified Interface Shell Refresh,Enable Unified Interface Shell Refresh,,,,
End Date,End Date,,,,
Ended On,Ended On,,,,
End Time,End Time,,,,
Enforce Read-Only Plugins,Enforce Read-Only Plugins,,,,
Entered On,Entered On,,,,
Entitlement Contact Id,Entitlement Contact Id,,,,
Entitlement Id,Entitlement Id,,,,
Entitlement Id Entity Type,Entitlement Id Entity Type,,,,
Entitlement Id Name,Entitlement Id Name,,,,
Entitlement Product Id,Entitlement Product Id,,,,
Entitlement Template Id,Entitlement Template Id,,,,
Entitlement Template Id Entity Type,Entitlement Template Id Entity Type,,,,
Entitlement Template Id Name,Entitlement Template Id Name,,,,
Entity Form Mode,Entity Form Mode,,,,
Entity Id,Entity Id,,,,
Entity Id Entity Type,Entity Id Entity Type,,,,
Entity Id Type Code,Entity Id Type Code,,,,
Entity Image Timestamp,Entity Image Timestamp,,,,
Entity Image Url,Entity Image Url,,,,
Entity Image Id,Entity Image Id,,,,
Entity Map Id,Entity Map Id,,,,
Entity Map Id Entity Type,Entity Map Id Entity Type,,,,
Entity Map Id Unique,Entity Map Id Unique,,,,
Entity Name,Entity Name,,,,
Entity Object Type Code,Entity Object Type Code,,,,
Entity Type,Entity Type,,,,
Entry Page,Entry Page,,,,
Error Code,Error Code,,,,
Error Detail,Error Detail,,,,
Error Message,Error Message,,,,
Error Time,Error Time,,,,
Error Type,Error Type,,,,
Error Uri,Error Uri,,,,
Escalated On,Escalated On,,,,
Estimated Amount,Estimated Amount,,,,
Estimated Amount Base,Estimated Amount Base,,,,
Estimated Close Date,Estimated Close Date,,,,
Estimated Value,Estimated Value,,,,
Estimated Value Base,Estimated Value Base,,,,
Evaluate Fit,Evaluate Fit,,,,
Event Handle Rs,Event Handle Rs,,,,
Ews Url,Ews Url,,,,
Exchange Contacts Import Completed On,Exchange Contacts Import Completed On,,,,
Exchange Contacts Import Status,Exchange Contacts Import Status,,,,
Exchange Entry Id,Exchange Entry Id,,,,
Exchange Folder Id,Exchange Folder id,,,,
Exchange Folder Name,Exchange Folder Name,,,,
Exchange Item Id,Exchange Item Id,,,,
Exch Anger Ate,Exch Anger Ate,,,,
Exchange Sync State Xml,Exchange Sync State Xml,,,,
Exchange Web Link,Exchange Web Link,,,,
Excluded Email Id,Excluded Email Id,,,,
Exclude If Contact Edinxdays,Exclude If Contact Edinxdays,,,,
Execute Sendid,Execute Sendid,,,,
Existing Case,Existing Case,,,,
Existing Case Entity Type,Existing Case Entity Type,,,,
Exit Page,Exit Page,,,,
Expander Event Id,Expander Event Id,,,,
Expansion State Code,Expansion State Code,,,,
Expected Response,Expected Response,,,,
Expected Revenue,Expected Revenue,,,,
Expected Revenue Base,Expected Revenue Base,,,,
Expiration Date,Expiration Date,,,,
Expiration State Id,Expiration State Id,,,,
Expiration Status Id,Expiration Status Id,,,,
Expire Change Tracking In Days,Expire Change Tracking In days,,,,
Expired Review Options,Expired Review Options,,,,
Expires On,Expires On,,,,
Expire Subscriptions In Days,Expire Subscriptions In Days,,,,
Expiry Date,Expiry Date,,,,
Extended Amount,Extended Amount,,,,
Extended Amount Base,Extended Amount Base,,,,
External Base Url,External Base Url,,,,
External Party Correlation Keys,External Party Correlation Keys,,,,
External Party Entity Settings,External Party Entity Settings,,,,
External User Identifier,External User Identifier,,,,
Failure Time,Failure Time,,,,
Family Status,Family Status,,,,
Family Status Code,Family Status Code,,,,
Fax,Fax,,,,
Fax Number,Fax Number,,,,
Feature Mask,Feature Mask,,,,
Feature Set,Feature Set,,,,
Feedback Id,Feedback Id,,,,
Fetch Xml,Fetch Xml,,,,
Field Id,Field Id,,,,
Field Per Mission Id,Field Per Mission Id,,,,
Field Per Mission Id Unique,Field Per Mission Id Unique,,,,
Field Security Profile Id,Field Security Profile Id,,,,
Field Security Profile Id Entity Type,Field Security Profile Id Entity Type,,,,
Field Security Profile Id Unique,Field Security Profile Id Unique,,,,
File As Name,File As Name,,,,
File Debrief,File Debrief,,,,
File Name,File Name,,,,
File Pointer,File Pointer,,,,
File Size,File Size,,,,
File Type,File Type,,,,
File Type Code,File Type Code,,,,
Final Decision Date,Final Decision Date,,,,
First Day Of Week,First Day Of Week,,,,
First Name,First Name,,,,
First Response By Kpi Id,First Response By Kpi Id,,,,
First Response By Kpi Id Entity Type,First Response By Kpi Id Entity Type,,,,
First Response By Kpi Id Name,First Response By Kpi Id Name,,,,
First Response Sent,First Response Sent,,,,
First Responses Last At Us,First Responses Last At Us,,,,
First Visit,First Visit,,,,
Fiscal Calendar Start,Fiscal Calendar Start,,,,
Fiscal Period,Fiscal Period,,,,
Fiscal Period Format,Fiscal Period Format,,,,
Fiscal Period Format Period,Fiscal Period Format Period,,,,
Fiscal Period Type,Fiscal Period Type,,,,
Fiscal Settings Updated,Fiscal Settings Updated,,,,
Fiscal Year,Fiscal Year,,,,
Fiscal Year Display Code,Fiscal Year Display Code,,,,
Fiscal Year Format,Fiscal Year Format,,,,
Fiscal Year Format Prefix,Fiscal Year Format Prefix,,,,
Fiscal Year Format Suffix,Fiscal Year Format Suffix,,,,
Fiscal Year Format Year,Fiscal Year Format Year,,,,
Fiscal Year Period Connect,Fiscal Year Period Connect,,,,
Flash,Flash,,,,
Folder Hierarchy,Folder Hierarchy,,,,
Folder Onboarding Status,Folder Onboarding Status,,,,
Follow Email,Follow Email,,,,
Follow Email User Preference,Follow Email User Preference,,,,
Follow Up By,Follow Up By,,,,
Follow Up Task Created,Follow Up Task Created,,,,
Force Dunlock Count,Force Dunlock Count,,,,
Form Activation State,Form Activation State,,,,
Form Capture Id,Form Capture Id,,,,
Form Factor,Form Factor,,,,
Form Field Id,Form Field Id,,,,
Form Id,Form Id,,,,
Form Id Unique,Form Id Unique,,,,
Form Json,Form Json,,,,
Form Presentation,Form Presentation,,,,
Form Xml,Form Xml,,,,
Form Xml Managed,Form Xml Managed,,,,
Freight Amount,Freight Amount,,,,
Freight Amount Base,Freight Amount Base,,,,
Freight Terms Code,Freight Terms Code,,,,
From,From,,,,
From Email,From Email,,,,
From Name,From Name,,,,
Ftp Site Url,Ftp Site Url,,,,
Full Name,Full Name,,,,
Full Name Convention Code,Full Name Convention Code,,,,
Future Expansion Window,Future Expansion Window,,,,
Gallery Item Id,Gallery Item Id,,,,
Gap Entity Name,Gap Entity Name,,,,
Gap Entity Schema Name,Gap Entity Schema Name,,,,
Gap Image Url,Gap Image Url,,,,
Gap Label,Gap Label,,,,
Gap Language,Gap Language,,,,
Gap Option Set Schema Name,Gap Option Set Schema Name,,,,
Gap Power Bi Option Set Ref Id,Gap Power Bi Option Set Ref Id,,,,
Gap Value,Gap Value,,,,
Gender,Gender,,,,
Gender Code,Gender Code,,,,
Generate Alerts For Errors,Generate Alerts For Errors,,,,
Generate Alerts For Information,Generate Alerts For Information,,,,
Generate Alerts For Warnings,Generate Alerts For Warnings,,,,
Get Related Entity Records,Get Related Entity Records,,,,
Get Started Pane Content Enabled,Get Started Pane Content Enabled,,,,
Global Append Url Parameters Enabled,Global Append Url Parameters Enabled,,,,
Global Help Url,Global Help Url,,,,
Global Help Url Enabled,Global Help Url Enabled,,,,
Global Object Id,Global Object Id,,,,
Goal End Date,Goal End Date,,,,
Goal Id,Goal Id,,,,
Goal Owner Id,Goal Owner Id,,,,
Goal Owner Id Entity Type,Goal Owner Id Entity Type,,,,
Goal Owner Id Name,Goal Owner Id Name,,,,
Goal Owner Id Type,Goal Owner Id Type,,,,
Goal Owner Id Yomi Name,Goal Owner Id Yomi Name,,,,
Goal Rollup Expiry Time,Goal Rollup Expiry Time,,,,
Goal Rollup Frequency,Goal Rollup Frequency,,,,
Goal Start Date,Goal Start Date,,,,
Goal With Error Id,Goal With Error Id,,,,
Goal With Error Id Entity Type,Goal With Error Id Entity Type,,,,
Goal With Error Id Name,Goal With Error Id Name,,,,
Government Id,Government Id,,,,
Grant Access To Network Service,Grant Access To Network Service,,,,
Granularity,Granularity,,,,
Group Id,Group Id,,,,
Group Id Entity Type,Group Id Entity Type,,,,
Group Object Id,Group Object Id,,,,
Has Attachments,Has Attachments,,,,
Has Children Code,Has Children Code,,,,
Hash Delta Subject Count,Hash Delta Subject Count,,,,
Hash Filter Keywords,Hash Filter Keywords,,,,
Hash Max Count,Hash Max Count,,,,
Hash Min Address Count,Hash Min Address Count,,,,
Help Language Id,Help Language Id,,,,
Hierarchy Level,Hierarchy Level,,,,
Hierarchy Path,Hierarchy Path,,,,
High Contrast Theme Data,High Contrast Theme Data,,,,
High Quantity,High Quantity,,,,
Home 2,Home 2,,,,
Home Page Area,Home Page Area,,,,
Home Page Layout,Home Page Layout,,,,
Home Page Sub Area,Home Page Sub Area,,,,
Home Phone,Home Phone,,,,
Host,Host,,,,
Host Id,Host Id,,,,
Id,Id,,,,
Identify Competitors,Identify Competitors,,,,
Identify Customer Contacts,Identify Customer Contacts,,,,
Identify Pursuit Team,Identify Pursuit Team,,,,
Identity Id,Identity Id,,,,
Ignore In Active List Members,Ignore In Active List Members,,,,
Ignore Internal Email,Ignore Internal Email,,,,
Ignore Unsolicited Email,Ignore Unsolicited Email,,,,
Import Sequence Number,Import Sequence Number,,,,
Inactivity Timeout Enabled,Inactivity Timeout Enabled,,,,
Inactivity Timeout In Mins,Inactivity Timeout In Mins,,,,
Inactivity Timeout Reminder In Mins,Inactivity Timeout Reminder In Mins,,,,
Incident Id,Incident Id,,,,
Incident Id Entity Type,Incident Id Entity Type,,,,
Incident Id Name,Incident Id Name,,,,
Incident Stage Code,Incident Stage Code,,,,
Incoming Email Delivery Method,Incoming Email Delivery Method,,,,
Incoming Email Exchange Email Retrieval Batch Size,Incoming Email Exchange Email Retrieval Batch Size,,,,
Incoming Email Filtering Method,Incoming Email Filtering Method,,,,
Incoming Email Status,Incoming Email Status,,,,
Industry Code,Industry Code,,,,
Influence Score,Influence Score,,,,
Inheritance Mask,Inheritance Mask,,,,
Inherited Access Rights Mask,Inherited Access Rights Mask,,,,
Initial Communication,Initial Communication,,,,
Initial Status Code,Initial Status Code,,,,
Initial Version,Initial Version,,,,
In Progress Decimal,In Progress Decimal,,,,
In Progress Integer,In Progress Integer,,,,
In Progress Money,In Progress Money,,,,
In Progress Money Base,In Progress Money Base,,,,
In Progress String,In Progress String,,,,
Input Parameters,Input Parameters,,,,
In Reply To,In Reply To,,,,
In Response To,In Response To,,,,
Instance,Instance,,,,
Instance Type Code,Instance Type Code,,,,
Integration User Id,Integration User Id,,,,
Interacted Component Text,Interacted Component Text,,,,
Interaction For Email Id,Interaction For Email Id,,,,
Interaction Location,Interaction Location,,,,
Interaction Party Id,Interaction Party Id,,,,
Interaction Party Type Code,Interaction Party Type Code,,,,
Interaction Replied By,Interaction Replied By,,,,
Interaction Reply Id,Interaction Reply Id,,,,
Interaction Type,Interaction Type,,,,
Interaction User Agent,Interaction User Agent,,,,
Internal Email Address,Internal Email Address,,,,
Interval,Interval,,,,
Introduced Version,Introduced Version,,,,
Invalid Email Satus Br,Invalid Email Satus Br,,,,
Invalid Email Status Br,Invalid Email Status Br,,,,
Invite Status Code,Invite Status Code,,,,
Invoice Detail Id,Invoice Detail Id,,,,
Invoice Detail Name,Invoice Detail Name,,,,
Invoice Id,Invoice Id,,,,
Invoice Id Entity Type,Invoice Id Entity Type,,,,
Invoice Id Name,Invoice Id Name,,,,
Invoice Is Price Locked,Invoice Is Price Locked,,,,
Invoice Number,Invoice Number,,,,
Invoice Prefix,Invoice Prefix,,,,
Invoice State Code,Invoice State Code,,,,
Ip Organization Id,Ip Organization Id,,,,
Is Action Card Enabled,Is Action Card Enabled,,,,
Is Action Support Feature Enabled,Is Action Support Feature Enabled,,,,
Is Active Directoryuser,Is Active Directoryuser,,,,
Is Activity Analysis Enabled,Is Activity Analysis Enabled,,,,
Is Act Sync Org Flag Set,Is ACT Sync Org Flag Set,,,,
Is Air Merged,Is Air Merged,,,,
Is All Day Event,Is All Day Event,,,,
Is Amount,Is Amount,,,,
Is Amount Type,Is Amount Type,,,,
Is App Mode,Is App Mode,,,,
Is Appointment Attachment Sync Enabled,Is Appointment Attachment Sync Enabled,,,,
Is Apps For Crm Alert Dismissed,Is Apps For Crm Alert Dismissed,,,,
Is Assigned Tasks Sync Enabled,Is Assigned Tasks Sync Enabled,,,,
Is Audit Enabled,Is Audit Enabled,,,,
Is Autocreate,Is Autocreate,,,,
Is Autodatacapture Enabled,Is Autodatacapture Enabled,,,,
Is Autosave Enabled,Is Autosave Enabled,,,,
Is Backoffice Customer,Is Backoffice Customer,,,,
Is Billed,Is Billed,,,,
Is Bpf Entity Customization Feature Enabled,Is Bpf Entity Customization Feature Enabled,,,,
Is Cds Upgraded,Is Cds Upgraded,,,,
Is Conflict Detection Enabled For Mobile Client,Is Conflict Detection Enabled For Mobile Client,,,,
Is Contact Mailing Address Sync Enabled,Is Contact Mailing Address Sync Enabled,,,,
Is Copied,Is Copied,,,,
Is Crm Ui Workflow,Is Crm Ui Workflow,,,,
Is Custom,Is Custom,,,,
Is Customer Viewable,Is Customer Viewable,,,,
Is Customizable,Is Customizable,,,,
Is Data Encryption Key Set,Is Data Encryption Key Set,,,,
Is Decrementing,Is Decrementing,,,,
Is Default,Is Default,,,,
Is Default Country Codecheck Enabled,Is Default Country Codecheck Enabled,,,,
Is Delegate Access Enabled,Is Delegate Access Enabled,,,,
Is Delve Action Hub Integration Enabled,Is Delve Action Hub Integration Enabled,,,,
Is Desktop Enabled,Is Desktop Enabled,,,,
Is Disabled,Is Disabled,,,,
Is Disabled When Integrated,Is Disabled When Integrated,,,,
Is Document,Is Document,,,,
Is Draft,Is Draft,,,,
Is Duplicate Detection Enabled,Is Duplicate Detection Enabled,,,,
Is Duplicate Detection Enabled For Import,Is Duplicate Detection Enabled For Import,,,,
Is Duplicate Detection Enabled For Offline Sync,Is Duplicate Detection Enabled For Offline Sync,,,,
Is Duplicate Detection Enabled For Online Create Update,Is Duplicate Detection Enabled For Online Create Update,,,,
Is Duplicate Detection Enabled When Going Online,Is Duplicate Detection Enabled When Going Online,,,,
Is Email Address Approved By O365 Admin,Is Email Address Approved By O365 Admin,,,,
Is Email Followed,Is Email Followed,,,,
Is Email Monitoring Allowed,Is Email Monitoring Allowed,,,,
Is Email Reminder Set,Is Email Reminder Set,,,,
Is Email Server Profile Content Filtering Enabled,Is Email Server Profile Content Filtering Enabled,,,,
Is Enabled For All Roles,Is Enabled For All Roles,,,,
Is Escalated,Is Escalated,,,,
Is Exchange Contacts Import Scheduled,Is Exchange Contacts Import Scheduled,,,,
Is External File Storage Enabled,Is External File Storage Enabled,,,,
Is External Search Index Enabled,Is External Search Index Enabled,,,,
Is Fax Queue,Is Fax Queue,,,,
Is Featured,Is Featured,,,,
Is Featured App,Is Featured App,,,,
Is Fiscal Period Goal,Is Fiscal Period Goal,,,,
Is Fiscal Period Month Based,Is Fiscal Period Month Based,,,,
Is Folder Autocreated On Sp,Is Folder Autocreated On Sp,,,,
Is Folder Based Tracking Enabled,Is Folder Based Tracking Enabled,,,,
Is Followed,Is Followed,,,,
Is Forward Mailbox,Is Forward Mailbox,,,,
Is Full Text Search Enabled,Is Full Text Search Enabled,,,,
Is Guided Help Enabled,Is Guided Help Enabled,,,,
Is Hero App,Is Hero App,,,,
Is Hidden,Is Hidden,,,,
Is Hierarchical Security Model Enabled,Is Hierarchical Security Model Enabled,,,,
Is Integration User,Is Integration User,,,,
Is Internal,Is Internal,,,,
Is Kit,Is Kit,,,,
Is Latest Version,Is Latest Version,,,,
Is Licensed,Is Licensed,,,,
Is Enabled For D365 Bot,Is Enabled For D365 Bot,,,,
Is Mailbox Forced Unlocking Enabled,Is Mailbox Forced Unlocking Enabled,,,,
Is Mailbox Inactive Backoff Enabled,Is Mailbox Inactive Backoff Enabled,,,,
Is Managed,Is Managed,,,,
Is Mapi Private,Is Mapi Private,,,,
Is Master,Is Master,,,,
Is Mobile Client On Demand Sync Enabled,Is Mobile Client On Demand Sync Enabled,,,,
Is Mobile Offline Enabled,Is Mobile Offline Enabled,,,,
Is M Steams Enabled,Is M Steams Enabled,,,,
Is M Steams Setting Changed By User,Is M Steams Setting Changed By User,,,,
Is Notes Analysis Enabled,Is Notes Analysis Enabled,,,,
Is Nth Monthly,Is Nth Monthly,,,,
Is Nthy Early,Is Nthy Early,,,,
Is Currency Code,Is Currency Code,,,,
Is Office Graph Enabled,Is Office Graph Enabled,,,,
Is One Drive Enabled,Is One Drive Enabled,,,,
Is Overridden,Is Overridden,,,,
Is Override,Is Override,,,,
Is Party Deleted,Is Party Deleted,,,,
Is Password Set,Is Password Set,,,,
Is Presence Enabled,Is Presence Enabled,,,,
Is Preview Enabled For Action Card,Is Preview Enabled For Action Card,,,,
Is Preview For Autocapture Enabled,Is Preview For Autocapture Enabled,,,,
Is Preview For Email Monitoring Allowed,Is Preview For Email Monitoring Allowed,,,,
Is Price Locked,Is Price Locked,,,,
Is Price Overridden,Is Price Overridden,,,,
Is Primary,Is Primary,,,,
Is Private,Is Private,,,,
Is Product Overridden,Is Product Overridden,,,,
Is Quick Find Query,Is Quick Find Query,,,,
Is Read Audit Enabled,Is Read Audit Enabled,,,,
Is Regenerate,Is Regenerate,,,,
Is Regular Activity,Is Regular Activity,,,,
Is Relationship Insights Enabled,Is Relationship Insights Enabled,,,,
Is Re-Parented,Is Re-Parented,,,,
Is Resource Booking Exchange Sync Enabled,Is Resource Booking Exchange Sync Enabled,,,,
Is Revenue System Calculated,Is Revenue System Calculated,,,,
Is Root Article,Is Root Article,,,,
Is Schedulable,Is Schedulable,,,,
Is Schedule Base Uom,Is Schedule Base Uom,,,,
Is Send As Allowed,Is Send As Allowed,,,,
Is Service Account,Is Service Account,,,,
Is Sop Integration Enabled,Is Sop Integration Enabled,,,,
Is Stock Item,Is Stock Item,,,,
Is Stretch Tracked,Is Stretch Tracked,,,,
Is Sync With Directory,Is Sync With Directory,,,,
Is System,Is System,,,,
Is Tablet Enabled,Is Tablet Enabled,,,,
Is Template,Is Template,,,,
Is Text Wrap Enabled,Is Text Wrap Enabled,,,,
Is Transacted,Is Transacted,,,,
Is Unsafe,Is Unsafe,,,,
Is User Access Audit Enabled,Is User Access Audit Enabled,,,,
Is User Defined,Is User Defined,,,,
Is User Localized Label,Is User Localized Label,,,,
Is Validated,Is Validated,,,,
Is Verified,Is Verified,,,,
Is Vintegration Code,Is Vintegration Code,,,,
Is Visible,Is Visible,,,,
Is Visible In Grid,Is Visible In Grid,,,,
Is Weekday Pattern,Is Weekday Pattern,,,,
Is Workflow Created,Is Workflow Created,,,,
Item Id,Item Id,,,,
Item Object Type Code,Item Object Type Code,,,,
Items Failed For Last Sync,Items Failed For Last Sync,,,,
Items Processed For Last Sync,Items Processed For Last Sync,,,,
Job Title,Job Title,,,,
Jt 400 Number Id,Jt 400 Number Id,,,,
Jt Abbreviation,Jt Abbreviation,,,,
Jt Account,Jt Account,,,,
Jt Account Entity Type,Jt Account Entity Type,,,,
Jt Account Mas Customer,Jt Account Mas Customer,,,,
Jt Account Mas Customer Entity Type,Jt Account Mas Customer Entity Type,,,,
Jt Account Mas Customer Name,Jt Account Mas Customer Name,,,,
Jt Account Mas Customer Yomi Name,Jt Account Mas Customer Yomi Name,,,,
Jt Account Name,Jt Account Name,,,,
Jt Account Number,Jt Account Number,,,,
Jt Account Registration Account Id,Jt Account Registration Account Id,,,,
Jt Account Registration Account Id Entity Type,Jt Account Registration Account Id Entity Type,,,,
Jt Account Registration Account Id Name,Jt Account Registration Account Id Name,,,,
Jt Account Terms Default,Jt Account Terms Default,,,,
Jt Account Yomi Name,Jt Account Yomi Name,,,,
Jt Activated At,Jt Activated At,,,,
Jt Active Cp,Jt Active Cp,,,,
Jt Active Disposition,Jt Active Disposition,,,,
Jt Active Disposition Entity Type,Jt Active Disposition Entity Type,,,,
Jt Active Disposition Name,Jt Active Disposition Name,,,,
Jt Address 1 City,Jt Address 1 City,,,,
Jt Address 1 City Entity Type,Jt Address 1 City Entity Type,,,,
Jt Address 1 City Name,Jt Address 1 City Name,,,,
Jt Address 1 Country,Jt Address 1 Country,,,,
Jt Address 1 Country Entity Type,Jt Address 1 Country Entity Type,,,,
Jt Address 1 Country Name,Jt Address 1 Country Name,,,,
Jt Address 1 Id,Jt Address 1 Id,,,,
Jt Address 1 State,Jt Address 1 State,,,,
Jt Address 1 State Entity Type,Jt Address 1 State Entity Type,,,,
Jt Address 1 State Name,Jt Address 1 State Name,,,,
Jt Address 1 Zip,Jt Address 1 Zip,,,,
Jt Address 1 Zip Entity Type,Jt Address 1 Zip Entity Type,,,,
Jt Address 1 Zip Code,Jt Address 1 Zip Code,,,,
Jt Address 1 Zip Code Entity Type,Jt Address 1 Zip Code Entity Type,,,,
Jt Address 1 Zip Code Name,Jt Address 1 Zip Code Name,,,,
Jt Address 1 Zip Name,Jt Address 1 Zip Name,,,,
Jt Address 2 City,Jt Address 2 City,,,,
Jt Address 2 City Entity Type,Jt Address 2 City Entity Type,,,,
Jt Address 2 City Name,Jt Address 2 City Name,,,,
Jt Address 2 Country,Jt Address 2 Country,,,,
Jt Address 2 Country Entity Type,Jt Address 2 Country Entity Type,,,,
Jt Address 2 Country Name,Jt Address 2 Country Name,,,,
Jt Address 2 Id,Jt Address 2 Id,,,,
Jt Address 2 State,Jt Address 2 State,,,,
Jt Address 2 State Entity Type,Jt Address 2 State Entity Type,,,,
Jt Address 2 State Name,Jt Address 2 State Name,,,,
Jt Address 2 Zip Code,Jt Address 2 Zip Code,,,,
Jt Address 2 Zip Code Entity Type,Jt Address 2 Zip Code Entity Type,,,,
Jt Address 2 Zip Code Name,Jt Address 2 Zip Code Name,,,,
Jt Address Exception,Jt Address Exception,,,,
Jt Address Id,Jt Address Id,,,,
Jt Address Line4,Jt Address Line4,,,,
Jt Address Line5,Jt Address Line5,,,,
Jt Adend Date,Jt Adend Date,,,,
Jt Adre Quest Status Reason,Jt Adre Quest Status Reason,,,,
Jt Amount,Jt Amount,,,,
Jt Amount Base,Jt Amount Base,,,,
Jt Anettrans Action,Jt Anettrans Action,,,,
Jt Ani,Jt Ani,,,,
Jt Anr Media Cost Rollup,Jt Anr Media Cost Rollup,,,,
Jt Anr Media Cost Rollup Base,Jt Anr Media Cost Rollup Base,,,,
Jt Anr Media Cost Rollup Date,Jt Anr Media Cost Rollup Date,,,,
Jt Anr Media Cost Rollup State,Jt Anr Media Cost Rollup State,,,,
Jt Anr Source Code,Jt Anr Source Code,,,,
Jt Anr Source Codeentity Type,Jt Anr Source Codeentity Type,,,,
Jt Anr Source Codename,Jt Anr Source Codename,,,,
Jt Application Agreement Received,Jt Application Agreement Received,,,,
Jt Application Type,Jt Application Type,,,,
Jt Approval Stepid,Jt Approval Stepid,,,,
Jt Approval Step Status,Jt Approval Step Status,,,,
Jt Approval Template,Jt Approval Template,,,,
Jt Approval Template Entity Type,Jt Approval Template Entity Type,,,,
Jt Approval Template Chosen,Jt Approval Template Chosen,,,,
Jt Approval Template Chosen Entity Type,Jt Approval Template Chosen Entity Type,,,,
Jt Approval Template Chosen Name,Jt Approval Template Chosen Name,,,,
Jt Approval Template Id,Jt Approval Template Id,,,,
Jt Approval Template Name,Jt Approval Template Name,,,,
Jt Approval Template Step Id,Jt Approval Template Step Id,,,,
Jt Approvedshipto Country,Jt Approvedshipto Country,,,,
Jt Areas Intended To Distribute,Jt Areas Intended To Distribute,,,,
Jt Assigned To,Jt Assigned To,,,,
Jt Assigned To Entity Type,Jt Assigned To Entity Type,,,,
Jt Assigned To Name,Jt Assigned To Name,,,,
Jt Assigned To Team,Jt Assigned To Team,,,,
Jt Assigned To Team Entity Type,Jt Assigned To Team Entity Type,,,,
Jt Assigned To Team Name,Jt Assigned To Team Name,,,,
Jt Assigned To Team Yomi Name,Jt Assigned To Team Yomi Name,,,,
Jt Assigned To Yomi Name,Jt Assigned To Yomi Name,,,,
Jt Attire,Jt Attire,,,,
Jt Back Orders Allowed,Jt Back Orders Allowed,,,,
Jt Balance,Jt Balance,,,,
Jt Balance Base,Jt Balance Base,,,,
Jt Bill Addrcity,Jt Bill Addrcity,,,,
Jt Bill Addrcitylookup,Jt Bill Addrcitylookup,,,,
Jt Bill Addrcitylookup Entity Type,Jt Bill Addrcitylookup Entity Type,,,,
Jt Bill Addrcitylookup Name,Jt Bill Addrcitylookup Name,,,,
Jt Bill Addr Country,Jt Bill Addr Country,,,,
Jt Bill Addr Country Code,Jt Bill Addr Country Code,,,,
Jt Bill Addr Country Lookup,Jt Bill Addr Country Lookup,,,,
Jt Bill Addr Country Lookup Entity Type,Jt Bill Addr Country Lookup Entity Type,,,,
Jt Bill Addr Country Lookup Name,Jt Bill Addr Country Lookup Name,,,,
Jt Bill Addr Id,Jt Bill Addr Id,,,,
Jt Bill Addrline 1,Jt Bill Addrline 1,,,,
Jt Bill Addrline 2,Jt Bill Addrline 2,,,,
Jt Bill Addrline 3,Jt Bill Addrline 3,,,,
Jt Bill Addr Name,Jt Bill Addr Name,,,,
Jt Bill Addr Postal Code,Jt Bill Addr Postal Code,,,,
Jt Bill Addr State,Jt Bill Addr State,,,,
Jt Bill Addr State Id,Jt Bill Addr State Id,,,,
Jt Bill Addr State Lookup,Jt Bill Addr State Lookup,,,,
Jt Bill Addr State Lookup Entity Type,Jt Bill Addr State Lookup Entity Type,,,,
Jt Bill Addr State Lookup Name,Jt Bill Addr State Lookup Name,,,,
Jt Bill Addr Zip Lookup,Jt Bill Addr Zip Lookup,,,,
Jt Bill Addr Zip Lookup Entity Type,Jt Bill Addr Zip Lookup Entity Type,,,,
Jt Bill Addr Zip Lookup Name,Jt Bill Addr Zip Lookup Name,,,,
Jt Billing Address,Jt Billing Address,,,,
Jt Billing Address Entity Type,Jt Billing Address Entity Type,,,,
Jt Billing Address Name,Jt Billing Address Name,,,,
Jt Billing Address Yomi Name,Jt Billing Address Yomi Name,,,,
Jt Billing Contact,Jt Billing Contact,,,,
Jt Billing Street Address,Jt Billing Street Address,,,,
Jt Bill To Contact,Jt Bill To Contact,,,,
Jt Bill To Contact Entity Type,Jt Bill To Contact Entity Type,,,,
Jt Bill To Contact Name,Jt Bill To Contact Name,,,,
Jt Bill To Contact Yomi Name,Jt Bill To Contact Yomi Name,,,,
Jt Body Lab,Jt Body Lab,,,,
Jt Booth Number,Jt Booth Number,,,,
Jt Bpo Business Unit Number,Jt Bpo Business Unit Number,,,,
Jt Bpo Skill Id,Jt Bpo Skill Id,,,,
Jt Bpo Skill Id Entity Type,Jt Bpo Skill Id Entity Type,,,,
Jt Bpo Skill Id Name,Jt Bpo Skill Id Name,,,,
Jt Bpo Vendor,Jt Bpo Vendor,,,,
Jt Brand Manager Review,Jt Brand Manager Review,,,,
Jt Bremenn,Jt Bremenn,,,,
Jt Business Category,Jt Business Category,,,,
Jt Campaign,Jt Campaign,,,,
Jt Campaign Entity Type,Jt Campaign Entity Type,,,,
Jt Campaign System User Id,Jt Campaign System User Id,,,,
Jt Campaign Name,Jt Campaign Name,,,,
Jt Can Sell,Jt Can Sell,,,,
Jt Carrier,Jt Carrier,,,,
Jt Carrier Provider,Jt Carrier Provider,,,,
Jt Cc Authorization,Jt Cc Authorization,,,,
Jt Cc Autorization,Jt Cc Autorization,,,,
Jt Charge Back,Jt Charge Back,,,,
Jt Charge Back Exception,Jt Charge Back Exception,,,,
Jt Charge Back Stage,Jt Charge Back Stage,,,,
